time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
19.8,-0.0916553520762,-1.00667489205,-1.16352442761,1.94317016305,0.666898147533,1.02431567111,-0.498160260866,100.0,-0.013805827091,-0.510048611972,0.783480687412,0.91425254958,-0.115432054288,1.60876235129,-2.9400900900900897,0.0
19.81,-0.0916553520762,-1.00667489205,-1.16352442761,1.94317016305,0.666898147533,1.02431567111,-0.498160260866,100.0,-0.013805827091,-0.510048611972,0.783480687412,0.91425254958,-0.115432054288,1.60876235129,-2.946196196196196,0.0
19.82,-0.0916553520762,-1.00667489205,-1.16352442761,1.94317016305,0.666898147533,1.02431567111,-0.498160260866,100.0,-0.013805827091,-0.510048611972,0.783480687412,0.91425254958,-0.115432054288,1.60876235129,-2.9523023023023023,0.0
19.830000000000002,-0.0916553520762,-1.00667489205,-1.16352442761,1.94317016305,0.666898147533,1.02431567111,-0.498160260866,100.0,-0.013805827091,-0.510048611972,0.783480687412,0.91425254958,-0.115432054288,1.60876235129,-2.9584084084084084,0.0
19.84,-0.0916553520762,-1.00667489205,-1.16352442761,1.94317016305,0.666898147533,1.02431567111,-0.498160260866,100.0,-0.013805827091,-0.510048611972,0.783480687412,0.91425254958,-0.115432054288,1.60876235129,-2.9645145145145144,0.0
19.85,-0.0908883616822,-1.00667489205,-1.16237394202,1.94278666786,0.666898147533,1.02354868072,-0.498543756063,100.0,-0.0126553415001,-0.506213660002,0.783097192216,0.911184588004,-0.115815549485,1.61067982728,-2.9706206206206205,0.0
19.86,-0.0908883616822,-1.00667489205,-1.16237394202,1.94278666786,0.666898147533,1.02354868072,-0.498543756063,100.0,-0.0126553415001,-0.506213660002,0.783097192216,0.911184588004,-0.115815549485,1.61067982728,-2.9767267267267266,0.0
19.87,-0.0908883616822,-1.00667489205,-1.16237394202,1.94278666786,0.666898147533,1.02354868072,-0.498543756063,100.0,-0.0126553415001,-0.506213660002,0.783097192216,0.911184588004,-0.115815549485,1.61067982728,-2.9828328328328326,0.0
19.88,-0.0908883616822,-1.00667489205,-1.16237394202,1.94278666786,0.666898147533,1.02354868072,-0.498543756063,100.0,-0.0126553415001,-0.506213660002,0.783097192216,0.911184588004,-0.115815549485,1.61067982728,-2.9889389389389387,0.0
19.89,-0.0908883616822,-1.00667489205,-1.16237394202,1.94278666786,0.666898147533,1.02354868072,-0.498543756063,100.0,-0.0126553415001,-0.506213660002,0.783097192216,0.911184588004,-0.115815549485,1.61067982728,-2.9950450450450448,0.0
